date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:06:28	16357/16357	---MC-	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Apr%202017%2022:06:27%20GMT	http://localhost/wordpress/wp-content/themes/advance/images/Untitled-1.png	C:/My%20Web%20Sites/qwe/localhost/wordpress/wp-content/themes/advance/images/Untitled-1.png	(from http://localhost/wordpress/wp-content/themes/advance/style.css?ver=4.7.3)
18:06:28	71896/71896	---M--	200	added ('OK')	text/html	etag:%22118d8-54d3503e33afe%22	http://localhost/wordpress/wp-content/themes/advance/fonts/awesome/fonts/fontawesome-webfont.woff2?v=4.6.3	C:/My%20Web%20Sites/qwe/localhost/wordpress/wp-content/themes/advance/fonts/awesome/fonts/fontawesome-webfont5b62.html	(from http://localhost/wordpress/wp-content/themes/advance/fonts/awesome/css/font-awesome.min.css?ver=1)
18:06:41	76518/76518	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2212ae6-54d3503e31fa2%22	http://localhost/wordpress/wp-content/themes/advance/fonts/awesome/fonts/fontawesome-webfont.eot?v=4.6.3	C:/My%20Web%20Sites/qwe/localhost/wordpress/wp-content/themes/advance/fonts/awesome/fonts/fontawesome-webfont5b62.eot	(from http://localhost/wordpress/wp-content/themes/advance/fonts/awesome/css/font-awesome.min.css?ver=1)
18:06:41	76518/76518	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2212ae6-54d3503e31fa2%22	http://localhost/wordpress/wp-content/themes/advance/fonts/awesome/fonts/fontawesome-webfont.eot?	C:/My%20Web%20Sites/qwe/localhost/wordpress/wp-content/themes/advance/fonts/awesome/fonts/fontawesome-webfontd41d.eot	(from http://localhost/wordpress/wp-content/themes/advance/fonts/awesome/css/font-awesome.min.css?ver=1)
18:06:41	392306/392306	---M--	200	added ('OK')	image/svg+xml	etag:%225fc72-54d3503e3257f%22	http://localhost/wordpress/wp-content/themes/advance/fonts/awesome/fonts/fontawesome-webfont.svg?v=4.6.3	C:/My%20Web%20Sites/qwe/localhost/wordpress/wp-content/themes/advance/fonts/awesome/fonts/fontawesome-webfont5b62.svg	(from http://localhost/wordpress/wp-content/themes/advance/fonts/awesome/css/font-awesome.min.css?ver=1)
18:06:45	90412/90412	---M--	200	added ('OK')	application/x-font-woff	etag:%221612c-54d3503e33521%22	http://localhost/wordpress/wp-content/themes/advance/fonts/awesome/fonts/fontawesome-webfont.woff?v=4.6.3	C:/My%20Web%20Sites/qwe/localhost/wordpress/wp-content/themes/advance/fonts/awesome/fonts/fontawesome-webfont5b62.woff	(from http://localhost/wordpress/wp-content/themes/advance/fonts/awesome/css/font-awesome.min.css?ver=1)
18:06:55	152796/152796	---M--	200	added ('OK')	application/x-font-ttf	etag:%22254dc-54d3503e32d50%22	http://localhost/wordpress/wp-content/themes/advance/fonts/awesome/fonts/fontawesome-webfont.ttf?v=4.6.3	C:/My%20Web%20Sites/qwe/localhost/wordpress/wp-content/themes/advance/fonts/awesome/fonts/fontawesome-webfont5b62.ttf	(from http://localhost/wordpress/wp-content/themes/advance/fonts/awesome/css/font-awesome.min.css?ver=1)
18:07:00	1093359/1093359	---M--	200	added ('OK')	image/png	etag:%2210aeef-54d3599846824%22	http://localhost/wordpress/wp-content/uploads/2017/04/resume_img-980x1024.png	C:/My%20Web%20Sites/qwe/localhost/wordpress/wp-content/uploads/2017/04/resume_img-980x1024.png	(from http://localhost/wordpress/)
18:07:00	302/302	---M--	200	added ('OK')	image/png	etag:%2212e-53feab5c46f00%22	http://localhost/wordpress/wp-content/plugins/js_composer/assets/vc/alert.png	C:/My%20Web%20Sites/qwe/localhost/wordpress/wp-content/plugins/js_composer/assets/vc/alert.png	(from http://localhost/wordpress/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=5.0.1)
18:07:00	323/323	---M--	200	added ('OK')	image/png	etag:%22143-53feab5c46f00%22	http://localhost/wordpress/wp-content/plugins/js_composer/assets/vc/info.png	C:/My%20Web%20Sites/qwe/localhost/wordpress/wp-content/plugins/js_composer/assets/vc/info.png	(from http://localhost/wordpress/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=5.0.1)
18:07:01	244/244	---M--	200	added ('OK')	image/png	etag:%22f4-53feab5c46f00%22	http://localhost/wordpress/wp-content/plugins/js_composer/assets/vc/tick.png	C:/My%20Web%20Sites/qwe/localhost/wordpress/wp-content/plugins/js_composer/assets/vc/tick.png	(from http://localhost/wordpress/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=5.0.1)
18:07:01	495/495	---M--	200	added ('OK')	image/png	etag:%221ef-53feab5c46f00%22	http://localhost/wordpress/wp-content/plugins/js_composer/assets/vc/exclamation.png	C:/My%20Web%20Sites/qwe/localhost/wordpress/wp-content/plugins/js_composer/assets/vc/exclamation.png	(from http://localhost/wordpress/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=5.0.1)
18:07:01	712/712	---M--	200	added ('OK')	image/png	etag:%222c8-53feab5c46f00%22	http://localhost/wordpress/wp-content/plugins/js_composer/assets/images/icons/address-book.png	C:/My%20Web%20Sites/qwe/localhost/wordpress/wp-content/plugins/js_composer/assets/images/icons/address-book.png	(from http://localhost/wordpress/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=5.0.1)
18:07:01	841/841	---M--	200	added ('OK')	image/png	etag:%22349-53feab5c46f00%22	http://localhost/wordpress/wp-content/plugins/js_composer/assets/images/icons/alarm-clock.png	C:/My%20Web%20Sites/qwe/localhost/wordpress/wp-content/plugins/js_composer/assets/images/icons/alarm-clock.png	(from http://localhost/wordpress/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=5.0.1)
